- Nordeste: CAPPI Salvador - BA | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Cappi do radar de Salvador/BA - 3km
- Nordeste: VENTO Salvador - BA | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar de Salvador/BA - 3km
- Nordeste: CAPPI S&atilde;o Luiz - MA | Lat: -2.600480, Lon: -44.239300 | Raio: 250km | Variáveis: Cappi do radar de S&atilde;o Luiz/MA - 3km
- Nordeste: VENTO S&atilde;o Luiz - MA | Lat: -2.600480, Lon: -44.239300 | Raio: 250km | Variáveis: Vento do radar de S&atilde;o Luiz/MA - 3km
- Centro-Oeste: CAPPI Gama - DF | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar de S&atilde;o Luiz - 3km
- Centro-Oeste: VENTO Gama - DF | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar de Gama - 3km
- Centro-Oeste: CAPPI Jaraguari - MS | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Cappi do radar de Jaraguari - 3km
- Centro-Oeste: VENTO Jaraguari - MS | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar de Jaraguari - 3km
- Sudeste: CAPPI Almenara - MG | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Cappi do radar de Almenara - 3km
- Sudeste: VENTO Almenara - MG | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar de Almenara - 3km
- Sudeste: CAPPI Pico do Couto - RJ | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Cappi do radar Pico do Couto - 3km
- Sudeste: VENTO Pico do Couto - RJ | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar Pico do Couto - 3km
- Sudeste: CAPPI São Roque - SP | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Cappi do radar São Roque - 3km
- Sudeste: VENTO São Roque - SP | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar São Roque - 3km
- Sudeste: CAPPI Bauru e Pres.Prud - SP | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Cappi do radar Bauru e Pres. Prud - 3km
- Sudeste: CAPPI São Francisco - MG | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Cappi do radar São Francisco - 3km
- Sudeste: VENTO São Francisco - MG | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar São Francisco - 3km
- Sudeste: CAPPI Três Marias - MG | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Cappi do radar Três Marias - 3km
- Sudeste: VENTO Três Marias - MG | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar Três Marias - 3km
- Sul: CAPPI Canguçu - RS | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Cappi do radar Canguçu - 3km
- Sul: VENTO canguçu - RS | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar Canguçu - 3km
- Sul: CAPPI Chapecó - SC | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Cappi do radar Chapecó - 3km
- Sul: VENTO Chapecó - SC | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar Chapecó - 3km
- Sul: CAPPI Lontras - SC | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Cappi do radar Lontras - 3km
- Sul: VENTO Lontras - SC | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar Lontras - 3km
- Sul: CAPPI Morro Igreja - SC | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Cappi do radar Lontras - 3km
- Sul: VENTO Morro Igreja - SC | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar Morro da Igreja - 3km
- Sul: CAPPI Santiago - RS | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Cappi do radar Santiag - 3km
- Sul: VENTO Santiago - RS | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar Santiag - 3km
