  R12797326 | Chuva 48h | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/portovelho/chuva/chuva48h
  R12797327 | Chuva 72h | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/portovelho/chuva/chuva72h
  R12797370 | Doppler | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sipam/portovelho/ppi/ppivr
  R12792392 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/portovelho/agua_liquida/dvil
  R12794664 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sipam/portovelho/echotop/echotop20dbz
  R12794663 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/portovelho/echotop/echotop35dbz
  R12797767 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sipam/portovelho/ppi/ppicz
  R12792393 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/portovelho/agua_liquida/vil
  R12794665 | Waldvogel | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/portovelho/echotop/waldvogel

### Radar 1377 - Macapá
  R12772255 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sipam/macapa/cappi/cappi3km
  R12777286 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/macapa/chuva/chuva24h
  R12777287 | Chuva 48h | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/macapa/chuva/chuva48h
  R12777288 | Chuva 72h | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/macapa/chuva/chuva72h
  R12777366 | Doppler | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sipam/macapa/ppi/ppivr
  R12772567 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/macapa/agua_liquida/dvil
  R12774643 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sipam/macapa/echotop/echotop20dbz
  R12774642 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/macapa/echotop/echotop35dbz
  R12777586 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sipam/macapa/ppi/ppicz
  R12772568 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/macapa/agua_liquida/vil
  R12774644 | Waldvogel | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/macapa/echotop/waldvogel

### Radar 2169 - Santa Tereza
  R12972169 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/santatereza/cappi/cappi3km
  R12974679 | Centróides | TXT | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/cemaden/santatereza/previsao_radar/cent_sistconvectivo
  R12977246 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/santatereza/chuva/chuva24h
  R12974670 | Clusters 20 min | PNG | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/cemaden/santatereza/previsao_radar/rast_tempestade
  R12977394 | Doppler | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/santatereza/ppi/ppivr
  R12972191 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/santatereza/agua_liquida/dvil
  R12974612 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/santatereza/echotop/echotop20dbz
